observation_date,MKTGDPTNA646NWDB
1961-01-01,866155428.571429
1962-01-01,880027733.333333
1963-01-01,1026737600.000000
1964-01-01,1025866792.156860
1965-01-01,991047619.047619
1966-01-01,1040952380.952380
1967-01-01,1085714285.714290
1968-01-01,1214666666.666670
1969-01-01,1289904761.904760
1970-01-01,1439238095.238100
1971-01-01,1685162272.406520
1972-01-01,2237556148.510850
1973-01-01,2730813385.326240
1974-01-01,3545868575.146390
1975-01-01,4328965587.532660
1976-01-01,4508191942.160810
1977-01-01,5109324009.324010
1978-01-01,5968460080.111300
1979-01-01,7188863903.636750
1980-01-01,8744134354.161520
1981-01-01,8428445294.084290
1982-01-01,8133580051.702510
1983-01-01,8350582747.835410
1984-01-01,8254541194.825660
1985-01-01,8410226052.611400
1986-01-01,9017806654.416901
1987-01-01,9696715910.709070
1988-01-01,10096245762.435200
1989-01-01,10101851744.562700
1990-01-01,12290568181.818199
1991-01-01,13074782608.695700
1992-01-01,15496708060.418400
1993-01-01,14608335608.154301
1994-01-01,15633174304.090500
1995-01-01,18030876599.344398
1996-01-01,19587161806.765499
1997-01-01,20746210353.845001
1998-01-01,21802893587.125999
1999-01-01,22943202174.966801
2000-01-01,21473528160.778198
2001-01-01,22065832448.862301
2002-01-01,23141616604.524200
2003-01-01,27453902261.462898
2004-01-01,31183885241.439602
2005-01-01,32272186694.804298
2006-01-01,34376664600.589798
2007-01-01,38915353866.757004
2008-01-01,44859439902.219101
2009-01-01,43455740497.306099
2010-01-01,46206091937.962799
2011-01-01,48123325825.073906
2012-01-01,47311401812.673294
2013-01-01,48685446413.953003
2014-01-01,50271812920.612000
2015-01-01,45779494041.929504
2016-01-01,44360072680.447601
2017-01-01,42163530590.946198
2018-01-01,42686504459.801003
2019-01-01,41905642418.824997
2020-01-01,42491780918.361000
2021-01-01,46812290143.344002
2022-01-01,44579761022.899300
2023-01-01,48529595416.653297
