observation_date,FXRATETNA618NUPN
1950-01-01,0.350000000
1951-01-01,0.350000000
1952-01-01,0.350000000
1953-01-01,0.350000000
1954-01-01,0.350000000
1955-01-01,0.350000000
1956-01-01,0.350000000
1957-01-01,0.350000000
1958-01-01,0.420000000
1959-01-01,0.420000000
1960-01-01,0.420000000
1961-01-01,0.419999987
1962-01-01,0.419999987
1963-01-01,0.419999987
1964-01-01,0.446249992
1965-01-01,0.524999976
1966-01-01,0.524999976
1967-01-01,0.524999976
1968-01-01,0.524999976
1969-01-01,0.524999976
1970-01-01,0.525000000
1971-01-01,0.522916666
1972-01-01,0.477083333
1973-01-01,0.421595833
1974-01-01,0.436508332
1975-01-01,0.402266666
1976-01-01,0.428774999
1977-01-01,0.428949999
1978-01-01,0.416170832
1979-01-01,0.406462499
1980-01-01,0.404954166
1981-01-01,0.493804166
1982-01-01,0.590687499
1983-01-01,0.678766666
1984-01-01,0.776833333
1985-01-01,0.834495833
1986-01-01,0.794029167
1987-01-01,0.828662500
1988-01-01,0.857804167
1989-01-01,0.949320833
1990-01-01,0.878333333
1991-01-01,0.924620833
1992-01-01,0.884433333
1993-01-01,1.003741667
1994-01-01,1.011554167
1995-01-01,0.945750000
1996-01-01,0.973408333
1997-01-01,1.105908333
1998-01-01,1.138725000
1999-01-01,1.186225000
2000-01-01,1.370683333
2001-01-01,1.438712500
2002-01-01,1.421733333
2003-01-01,1.288458333
2004-01-01,1.245466667
2005-01-01,1.297433333
2006-01-01,1.331025000
2007-01-01,1.281358333
2008-01-01,1.232141667
2009-01-01,1.350275000
2010-01-01,1.431400000
